Date, Sales 
01-04-1982,933.4
01-05-1982,920.5
01-06-1982,933.6
01-07-1982,972.6
01-08-1982,923.5
01-09-1982,955.9
01-10-1982,999.3
01-11-1982,1031.9
01-12-1982,1190.4
01-01-1983,959.3
01-02-1983,995.5
01-03-1983,1080.8
01-04-1983,1036.4
01-05-1983,1014.2
01-06-1983,1033.9
01-07-1983,1047.4
01-08-1983,1089.4
01-09-1983,1075.6
01-10-1983,1105.9
01-11-1983,1155.9
01-12-1983,1334.8
01-01-1984,1062.2
01-02-1984,1087.8
01-03-1984,1132.3
01-04-1984,1101.8
01-05-1984,1148.5
01-06-1984,1121.3
01-07-1984,1118.3
01-08-1984,1179.2
01-09-1984,1105.5
01-10-1984,1199.5
01-11-1984,1226.6
01-12-1984,1368.3
01-01-1985,1206.7
01-02-1985,1141.3
01-03-1985,1222.8
01-04-1985,1207.4
01-05-1985,1277.1
01-06-1985,1193.7
01-07-1985,1282.2
01-08-1985,1296.9
01-09-1985,1237.3
01-10-1985,1350.7
01-11-1985,1353.4
01-12-1985,1503.3
01-01-1986,1361.6
01-02-1986,1273.9
01-03-1986,1371.5
01-04-1986,1344.6
01-05-1986,1435.5
01-06-1986,1346.0
01-07-1986,1419.1
01-08-1986,1406.8
01-09-1986,1397.5
01-10-1986,1487.6
01-11-1986,1449.1
01-12-1986,1683.7
01-01-1987,1493.8
01-02-1987,1396.5
01-03-1987,1469.8
01-04-1987,1499.2
01-05-1987,1497.3
01-06-1987,1446.6
01-07-1987,1516.9
01-08-1987,1487.3
01-09-1987,1491.2
01-10-1987,1585.5
01-11-1987,1536.7
01-12-1987,1847.3
01-01-1988,1526.6
01-02-1988,1509.2
01-03-1988,1660.1
01-04-1988,1590.3
01-05-1988,1564.2
01-06-1988,1583.3
01-07-1988,1587.1
01-08-1988,1631.0
01-09-1988,1672.7
01-10-1988,1680.8
01-11-1988,1734.8
01-12-1988,2052.7
01-01-1989,1699.2
01-02-1989,1649.2
01-03-1989,1874.1
01-04-1989,1735.5
01-05-1989,1756.7
01-06-1989,1788.0
01-07-1989,1781.2
01-08-1989,1863.0
01-09-1989,1860.5
01-10-1989,1814.9
01-11-1989,1902.0
01-12-1989,2221.3
01-01-1990,1856.3
01-02-1990,1793.7
01-03-1990,2008.5
01-04-1990,1875.4
01-05-1990,1962.4
01-06-1990,1940.6
01-07-1990,1894.0
01-08-1990,2043.7
01-09-1990,1910.9
01-10-1990,2023.7
01-11-1990,2114.1
01-12-1990,2339.9
01-01-1991,2130.5
01-02-1991,1956.7
01-03-1991,2174.0
01-04-1991,1998.5
01-05-1991,2162.2
01-06-1991,2011.7
01-07-1991,2127.9
01-08-1991,2251.5
01-09-1991,2043.3
01-10-1991,2238.7
01-11-1991,2245.0
01-12-1991,2430.7
01-01-1992,2236.6
01-02-1992,2145.7
01-03-1992,2199.8
01-04-1992,2259.5
01-05-1992,2255.7
01-06-1992,2168.0
01-07-1992,2316.8
01-08-1992,2237.4
01-09-1992,2227.8
01-10-1992,2396.1
01-11-1992,2249.5
01-12-1992,2628.6
01-01-1993,2333.0
01-02-1993,2193.6
01-03-1993,2358.5
01-04-1993,2380.2
01-05-1993,2337.7
01-06-1993,2292.7
01-07-1993,2423.1
01-08-1993,2296.0
01-09-1993,2361.7
01-10-1993,2440.7
01-11-1993,2405.0
01-12-1993,2819.5
01-01-1994,2366.7
01-02-1994,2289.9
01-03-1994,2561.2
01-04-1994,2377.5
01-05-1994,2394.7
01-06-1994,2427.9
01-07-1994,2499.2
01-08-1994,2507.9
01-09-1994,2539.0
01-10-1994,2575.1
01-11-1994,2567.1
01-12-1994,3022.1
01-01-1995,2534.6
01-02-1995,2454.4
01-03-1995,2710.5
01-04-1995,2623.8
01-05-1995,2680.5
01-06-1995,2663.6
01-07-1995,2685.0
01-08-1995,2792.2
01-09-1995,2751.9
01-10-1995,2802.2
01-11-1995,2879.7
01-12-1995,3240.8
01-01-1996,2812.4
01-02-1996,2803.7
01-03-1996,2916.3
01-04-1996,2795.5
01-05-1996,2957.6
01-06-1996,2783.5
01-07-1996,2877.3
01-08-1996,3006.7
01-09-1996,2831.2
01-10-1996,3065.5
01-11-1996,3054.3
01-12-1996,3294.1
01-01-1997,3124.1
01-02-1997,2839.3
01-03-1997,3108.3
01-04-1997,2914.4
01-05-1997,3100.8
01-06-1997,2861.5
01-07-1997,3032.5
01-08-1997,3047.1
01-09-1997,2974.1
01-10-1997,3222.2
01-11-1997,3131.5
01-12-1997,3479.1
01-01-1998,3280.4
01-02-1998,2937.7
01-03-1998,3133.9
01-04-1998,3162.3
01-05-1998,3206.2
