Date, Sales 
Apr-82, 933.4 
May-82, 920.5 
Jun-82, 933.6 
Jul-82, 972.6 
Aug-82, 923.5 
Sep-82, 955.9 
Oct-82, 999.3 
Nov-82," 1,031.9 "
Dec-82," 1,190.4 "
Jan-83, 959.3 
Feb-83, 995.5 
Mar-83," 1,080.8 "
Apr-83," 1,036.4 "
May-83," 1,014.2 "
Jun-83," 1,033.9 "
Jul-83," 1,047.4 "
Aug-83," 1,089.4 "
Sep-83," 1,075.6 "
Oct-83," 1,105.9 "
Nov-83," 1,155.9 "
Dec-83," 1,334.8 "
Jan-84," 1,062.2 "
Feb-84," 1,087.8 "
Mar-84," 1,132.3 "
Apr-84," 1,101.8 "
May-84," 1,148.5 "
Jun-84," 1,121.3 "
Jul-84," 1,118.3 "
Aug-84," 1,179.2 "
Sep-84," 1,105.5 "
Oct-84," 1,199.5 "
Nov-84," 1,226.6 "
Dec-84," 1,368.3 "
Jan-85," 1,206.7 "
Feb-85," 1,141.3 "
Mar-85," 1,222.8 "
Apr-85," 1,207.4 "
May-85," 1,277.1 "
Jun-85," 1,193.7 "
Jul-85," 1,282.2 "
Aug-85," 1,296.9 "
Sep-85," 1,237.3 "
Oct-85," 1,350.7 "
Nov-85," 1,353.4 "
Dec-85," 1,503.3 "
Jan-86," 1,361.6 "
Feb-86," 1,273.9 "
Mar-86," 1,371.5 "
Apr-86," 1,344.6 "
May-86," 1,435.5 "
Jun-86," 1,346.0 "
Jul-86," 1,419.1 "
Aug-86," 1,406.8 "
Sep-86," 1,397.5 "
Oct-86," 1,487.6 "
Nov-86," 1,449.1 "
Dec-86," 1,683.7 "
Jan-87," 1,493.8 "
Feb-87," 1,396.5 "
Mar-87," 1,469.8 "
Apr-87," 1,499.2 "
May-87," 1,497.3 "
Jun-87," 1,446.6 "
Jul-87," 1,516.9 "
Aug-87," 1,487.3 "
Sep-87," 1,491.2 "
Oct-87," 1,585.5 "
Nov-87," 1,536.7 "
Dec-87," 1,847.3 "
Jan-88," 1,526.6 "
Feb-88," 1,509.2 "
Mar-88," 1,660.1 "
Apr-88," 1,590.3 "
May-88," 1,564.2 "
Jun-88," 1,583.3 "
Jul-88," 1,587.1 "
Aug-88," 1,631.0 "
Sep-88," 1,672.7 "
Oct-88," 1,680.8 "
Nov-88," 1,734.8 "
Dec-88," 2,052.7 "
Jan-89," 1,699.2 "
Feb-89," 1,649.2 "
Mar-89," 1,874.1 "
Apr-89," 1,735.5 "
May-89," 1,756.7 "
Jun-89," 1,788.0 "
Jul-89," 1,781.2 "
Aug-89," 1,863.0 "
Sep-89," 1,860.5 "
Oct-89," 1,814.9 "
Nov-89," 1,902.0 "
Dec-89," 2,221.3 "
Jan-90," 1,856.3 "
Feb-90," 1,793.7 "
Mar-90," 2,008.5 "
Apr-90," 1,875.4 "
May-90," 1,962.4 "
Jun-90," 1,940.6 "
Jul-90," 1,894.0 "
Aug-90," 2,043.7 "
