Date, Sales 
01-02-2011,2901.8
01-03-2011,1358.8
01-04-2011,1364.9
01-05-2011,1469.7
01-06-2011,1456.5
01-07-2011,1440.8
01-08-2011,1470.5
01-09-2011,1586.5
01-10-2011,1654.6
01-11-2011,1612.9
01-12-2011,1774.0
01-02-2012,3366.9
01-03-2012,1565.0
01-04-2012,1560.3
01-05-2012,1671.5
01-06-2012,1658.5
01-07-2012,1631.5
01-08-2012,1665.9
01-09-2012,1822.7
01-10-2012,1893.4
01-11-2012,1847.7
01-12-2012,2033.4
01-02-2013,3781.0
01-03-2013,1764.1
01-04-2013,1760.0
01-05-2013,1888.6
01-06-2013,1882.7
01-07-2013,1851.3
01-08-2013,1888.6
01-09-2013,2065.3
01-10-2013,2149.1
01-11-2013,2101.2
01-12-2013,2306.0
01-02-2014,4228.1
01-03-2014,1980.1
01-04-2014,1970.1
01-05-2014,2125.0
01-06-2014,2116.6
01-07-2014,2077.6
01-08-2014,2113.4
01-09-2014,2304.2
01-10-2014,2396.7
01-11-2014,2347.5
01-12-2014,2580.1
01-02-2015,4799.3
01-03-2015,2272.3
01-04-2015,2238.7
01-05-2015,2419.5
01-06-2015,2428.0
01-07-2015,2433.9
01-08-2015,2489.3
01-09-2015,2527.1
01-10-2015,2827.9
01-11-2015,2793.7
01-12-2015,2863.5
01-02-2016,5291.0
01-03-2016,2511.4
01-04-2016,2464.6
01-05-2016,2661.1
01-06-2016,2685.7
01-07-2016,2682.7
01-08-2016,2754.0
01-09-2016,2797.6
01-10-2016,3111.9
01-11-2016,3095.9
01-12-2016,3175.7
01-02-2017,5796.0
01-03-2017,2786.4
01-04-2017,2727.9
01-05-2017,2945.9
01-06-2017,2980.8
01-07-2017,2961.0
01-08-2017,3033.0
01-09-2017,3087.0
01-10-2017,3424.1
01-11-2017,3410.8
01-12-2017,3473.4
01-02-2018,6108.2
01-03-2018,2919.4
01-04-2018,2854.2
01-05-2018,3035.9
01-06-2018,3084.2
01-07-2018,3073.4
01-08-2018,3154.2
01-09-2018,3200.5
01-10-2018,3553.4
01-11-2018,3526.0
01-12-2018,3589.4
01-02-2019,5881.3
01-03-2019,2833.3
01-04-2019,2730.5
01-05-2019,2932.4
01-06-2019,3015.5
01-07-2019,2941.5
01-08-2019,3003.9
01-09-2019,3072.5
01-10-2019,3373.7
01-11-2019,3313.0
01-12-2019,3395.2
01-02-2020,4793.6
01-03-2020,2461.8
01-04-2020,2587.1
01-05-2020,2896.0
01-06-2020,3026.4
01-07-2020,2892.0
01-08-2020,2995.1
01-09-2020,3158.0
01-10-2020,3420.4
01-11-2020,3453.4
01-12-2020,3561.6
01-02-2021,6265.1
01-03-2021,3197.4
01-04-2021,2977.6
01-05-2021,3212.9
01-06-2021,3366.3
01-07-2021,3117.4
01-08-2021,3093.9
01-09-2021,3300.2
01-10-2021,3599.4
01-11-2021,3726.6
01-12-2021,3642.8
01-02-2022,6670.8
01-03-2022,3129.8
01-04-2022,2687.4
01-05-2022,3053.5
01-06-2022,3497.7
