Date, Sales 
01-02-2011,2577.7
01-03-2011,1208.2
01-04-2011,1215.2
01-05-2011,1305.7
01-06-2011,1290.4
01-07-2011,1278.1
01-08-2011,1298.8
01-09-2011,1405.1
01-10-2011,1460.2
01-11-2011,1426.4
01-12-2011,1574.3
01-02-2012,2995.1
01-03-2012,1394.1
01-04-2012,1391.4
01-05-2012,1487.1
01-06-2012,1470.8
01-07-2012,1448.6
01-08-2012,1472.3
01-09-2012,1615.5
01-10-2012,1672.7
01-11-2012,1636.2
01-12-2012,1804.7
01-02-2013,3378.0
01-03-2013,1578.1
01-04-2013,1577.9
01-05-2013,1686.3
01-06-2013,1676.7
01-07-2013,1651.4
01-08-2013,1676.1
01-09-2013,1839.4
01-10-2013,1907.0
01-11-2013,1869.8
01-12-2013,2058.1
01-02-2014,3786.6
01-03-2014,1775.0
01-04-2014,1768.4
01-05-2014,1900.3
01-06-2014,1890.6
01-07-2014,1858.9
01-08-2014,1883.0
01-09-2014,2058.7
01-10-2014,2131.0
01-11-2014,2093.3
01-12-2014,2307.4
01-02-2015,4291.3
01-03-2015,2034.4
01-04-2015,2006.0
01-05-2015,2160.0
01-06-2015,2166.4
01-07-2015,2173.8
01-08-2015,2214.1
01-09-2015,2254.9
01-10-2015,2510.4
01-11-2015,2490.3
01-12-2015,2560.5
01-02-2016,4725.9
01-03-2016,2246.3
01-04-2016,2204.9
01-05-2016,2373.3
01-06-2016,2395.1
01-07-2016,2394.4
01-08-2016,2450.4
01-09-2016,2496.5
01-10-2016,2762.8
01-11-2016,2761.7
01-12-2016,2840.5
01-02-2017,5170.8
01-03-2017,2491.9
01-04-2017,2439.3
01-05-2017,2624.8
01-06-2017,2655.4
01-07-2017,2640.6
01-08-2017,2697.0
01-09-2017,2755.3
01-10-2017,3038.9
01-11-2017,3043.3
01-12-2017,3104.5
01-02-2018,5446.9
01-03-2018,2609.5
01-04-2018,2551.7
01-05-2018,2703.8
01-06-2018,2744.1
01-07-2018,2739.1
01-08-2018,2802.6
01-09-2018,2855.9
01-10-2018,3152.8
01-11-2018,3073.5
01-12-2018,3147.2
01-02-2019,5881.3
01-03-2019,2833.3
01-04-2019,2730.5
01-05-2019,2932.4
01-06-2019,3015.5
01-07-2019,2941.5
01-08-2019,3003.9
01-09-2019,3072.5
01-10-2019,3373.7
01-11-2019,3313.0
01-12-2019,3395.2
01-02-2020,4793.6
01-03-2020,2461.8
01-04-2020,2587.1
01-05-2020,2896.0
01-06-2020,3026.4
01-07-2020,2892.0
01-08-2020,2995.1
01-09-2020,3158.0
01-10-2020,3420.4
01-11-2020,3453.4
01-12-2020,3561.6
01-02-2021,6265.1
01-03-2021,3197.4
01-04-2021,2977.6
01-05-2021,3212.9
01-06-2021,3366.3
01-07-2021,3117.4
01-08-2021,3093.9
01-09-2021,3300.2
01-10-2021,3599.4
01-11-2021,3726.6
01-12-2021,3642.8
01-02-2022,6670.8
01-03-2022,3129.8
01-04-2022,2687.4
01-05-2022,3053.5
01-06-2022,3497.7
