,ds
0,28-02-2011
1,31-03-2011
2,30-04-2011
3,31-05-2011
4,30-06-2011
5,31-07-2011
6,31-08-2011
7,30-09-2011
8,31-10-2011
9,30-11-2011
10,31-12-2011
11,29-02-2012
12,31-03-2012
13,30-04-2012
14,31-05-2012
15,30-06-2012
16,31-07-2012
17,31-08-2012
18,30-09-2012
19,31-10-2012
20,30-11-2012
21,31-12-2012
22,28-02-2013
23,31-03-2013
24,30-04-2013
25,31-05-2013
26,30-06-2013
27,31-07-2013
28,31-08-2013
29,30-09-2013
30,31-10-2013
31,30-11-2013
32,31-12-2013
33,28-02-2014
34,31-03-2014
35,30-04-2014
36,31-05-2014
37,30-06-2014
38,31-07-2014
39,31-08-2014
40,30-09-2014
41,31-10-2014
42,30-11-2014
43,31-12-2014
44,28-02-2015
45,31-03-2015
46,30-04-2015
47,31-05-2015
48,30-06-2015
49,31-07-2015
50,31-08-2015
51,30-09-2015
52,31-10-2015
53,30-11-2015
54,31-12-2015
55,29-02-2016
56,31-03-2016
57,30-04-2016
58,31-05-2016
59,30-06-2016
60,31-07-2016
61,31-08-2016
62,30-09-2016
63,31-10-2016
64,30-11-2016
65,31-12-2016
66,28-02-2017
67,31-03-2017
68,30-04-2017
69,31-05-2017
70,30-06-2017
71,31-07-2017
72,31-08-2017
73,30-09-2017
74,31-10-2017
75,30-11-2017
76,31-12-2017
77,28-02-2018
78,31-03-2018
79,30-04-2018
80,31-05-2018
81,30-06-2018
82,31-07-2018
83,31-08-2018
84,30-09-2018
85,31-10-2018
86,30-11-2018
87,31-12-2018
88,28-02-2019
89,31-03-2019
90,30-04-2019
91,31-05-2019
92,30-06-2019
93,31-07-2019
94,31-08-2019
95,30-09-2019
96,31-10-2019
97,30-11-2019
98,31-12-2019
99,29-02-2020
100,31-03-2020
101,30-04-2020
102,31-05-2020
103,30-06-2020
104,31-07-2020
105,31-08-2020
106,30-09-2020
107,31-10-2020
108,30-11-2020
109,31-12-2020
110,28-02-2021
111,31-03-2021
112,30-04-2021
113,31-05-2021
114,30-06-2021
115,31-07-2021
116,31-08-2021
117,30-09-2021
118,31-10-2021
119,30-11-2021
120,31-12-2021
121,28-02-2022
122,31-03-2022
123,30-04-2022
124,31-05-2022
125,30-06-2022
126,31-07-2022
127,31-08-2022
128,30-09-2022
129,31-10-2022
130,30-11-2022
131,31-12-2022
132,28-02-2023
133,31-03-2023
134,30-04-2023
135,31-05-2023
136,30-06-2023
137,31-07-2023
138,31-08-2023
139,30-09-2023
140,31-10-2023
141,30-11-2023
142,31-12-2023
143,29-02-2024
144,31-03-2024
145,30-04-2024
146,31-05-2024
147,30-06-2024
148,31-07-2024
149,31-08-2024
150,30-09-2024
151,31-10-2024
152,30-11-2024
153,31-12-2024
154,28-02-2025
155,31-03-2025
156,30-04-2025
157,31-05-2025
158,30-06-2025
159,31-07-2025
160,31-08-2025
161,30-09-2025
162,31-10-2025
163,30-11-2025
164,31-12-2025
165,28-02-2026
166,31-03-2026
167,30-04-2026
168,31-05-2026
169,30-06-2026
170,31-07-2026
171,31-08-2026
172,30-09-2026
173,31-10-2026
174,30-11-2026
175,31-12-2026
176,28-02-2027
177,31-03-2027
178,30-04-2027
179,31-05-2027
180,30-06-2027
181,31-07-2027
182,31-08-2027
183,30-09-2027
184,31-10-2027
185,30-11-2027
186,31-12-2027
187,29-02-2028
