Date, Sales 
01-01-2010,17874
01-02-2010,17171
01-03-2010,19214
01-04-2010,18340
01-05-2010,18295
01-06-2010,18372
01-07-2010,18170
01-08-2010,18328
01-09-2010,18124
01-10-2010,18611
01-11-2010,18724
01-12-2010,21007
01-01-2011,19155
01-02-2011,18117
01-03-2011,20042
01-04-2011,18944
01-05-2011,19505
01-06-2011,19081
01-07-2011,18541
01-08-2011,19481
01-09-2011,18845
01-10-2011,19302
01-11-2011,19103
01-12-2011,21133
01-01-2012,19401
01-02-2012,19056
01-03-2012,19943
01-04-2012,19050
01-05-2012,19701
01-06-2012,18426
01-07-2012,18559
01-08-2012,19168
01-09-2012,17847
01-10-2012,19468
01-11-2012,18700
01-12-2012,20632
01-01-2013,19792
01-02-2013,18158
01-03-2013,19535
01-04-2013,19053
01-05-2013,19666
01-06-2013,18394
01-07-2013,19292
01-08-2013,19366
01-09-2013,19010
01-10-2013,20246
01-11-2013,19321
01-12-2013,21803
01-01-2014,20374
01-02-2014,18891
01-03-2014,20213
01-04-2014,20336
01-05-2014,20767
01-06-2014,20116
01-07-2014,20586
01-08-2014,20297
01-09-2014,20348
01-10-2014,21293
01-11-2014,19835
01-12-2014,23583
01-01-2015,21267
01-02-2015,19651
01-03-2015,21870
01-04-2015,21058
01-05-2015,20958
01-06-2015,20977
01-07-2015,21250
01-08-2015,21012
01-09-2015,21485
01-10-2015,22081
01-11-2015,21127
01-12-2015,24619
01-01-2016,21637
01-02-2016,21864
01-03-2016,22994
01-04-2016,22111
01-05-2016,22535
01-06-2016,22142
01-07-2016,21608
01-08-2016,22410
01-09-2016,21640
01-10-2016,21518
01-11-2016,21267
01-12-2016,23820
01-01-2017,21749
01-02-2017,20621
01-03-2017,22663
01-04-2017,21629
01-05-2017,23021
01-06-2017,22353
01-07-2017,21611
01-08-2017,22815
01-09-2017,21932
01-10-2017,23364
01-11-2017,22645
01-12-2017,24651
01-01-2018,23552
01-02-2018,21352
01-03-2018,23359
01-04-2018,22544
01-05-2018,24087
01-06-2018,22597
01-07-2018,22826
01-08-2018,23946
01-09-2018,22138
01-10-2018,24695
01-11-2018,23721
01-12-2018,24796
01-01-2019,24273
01-02-2019,22470
01-03-2019,23719
01-04-2019,23900
01-05-2019,24750
01-06-2019,22821
01-07-2019,23570
01-08-2019,23688
01-09-2019,22552
01-10-2019,24881
01-11-2019,22814
01-12-2019,25184
01-01-2020,24384
01-02-2020,23106
01-03-2020,26875
01-04-2020,23778
01-05-2020,23504
01-06-2020,24479
01-07-2020,25249
01-08-2020,24544
01-09-2020,25007
01-10-2020,26189
01-11-2020,24062
01-12-2020,27609
01-01-2021,24829
01-02-2021,23193
01-03-2021,27661
01-04-2021,26721
01-05-2021,26084
01-06-2021,27021
01-07-2021,26607
01-08-2021,27111
01-09-2021,26676
01-10-2021,27288
01-11-2021,26784
01-12-2021,30120
01-01-2022,27297
01-02-2022,25257
01-03-2022,27547
01-04-2022,26780
