Date, Sales 
31-01-2016,37878013723
28-02-2016,39203208315
27-03-2016,39747288435
24-04-2016,38314607367
22-05-2016,38992076713
19-06-2016,40147152694
17-07-2016,40160795511
14-08-2016,39460009290
11-09-2016,39708630868
09-10-2016,39220507666
06-11-2016,39532472532
04-12-2016,40267057212
01-01-2017,42257556524
29-01-2017,38840195286
26-02-2017,40359861966
26-03-2017,40336603562
23-04-2017,41118116767
21-05-2017,40190700289
18-06-2017,41254130470
16-07-2017,41510941190
13-08-2017,40729029441
10-09-2017,42061815142
08-10-2017,40840601130
05-11-2017,41535988342
03-12-2017,42295302611
31-12-2017,44430036682
28-01-2018,40294847444
25-02-2018,41507020218
25-03-2018,41799968504
22-04-2018,42143783997
20-05-2018,41733416456
17-06-2018,42675046097
15-07-2018,42878512766
12-08-2018,42136933475
09-09-2018,42801507022
07-10-2018,42055308995
04-11-2018,42620807402
02-12-2018,43817712817
30-12-2018,45695417000
27-01-2019,42678845164
24-02-2019,42285153072
24-03-2019,42750024128
21-04-2019,44050087227
19-05-2019,42624636635
16-06-2019,44051417512
14-07-2019,44571699310
11-08-2019,43838078495
08-09-2019,44661086880
06-10-2019,43670045414
03-11-2019,44384071955
01-12-2019,45941211669
29-12-2019,47410847601
26-01-2020,43475557589
23-02-2020,44583193054
22-03-2020,57674839877
19-04-2020,54335381770
17-05-2020,54548868097
14-06-2020,52766392900
12-07-2020,52563801968
09-08-2020,51588690354
06-09-2020,51468969441
04-10-2020,50379296222
01-11-2020,51403652390
29-11-2020,53254733518
27-12-2020,54382405812
24-01-2021,51435244051
21-02-2021,52126006855
21-03-2021,51534511977
18-04-2021,52637963413
16-05-2021,52250453298
13-06-2021,53956398398
11-07-2021,54195032260
08-08-2021,53162067461
05-09-2021,54284027851
03-10-2021,53311202800
31-10-2021,54581843887
28-11-2021,56147396665
26-12-2021,58416380504
23-01-2022,54268461826
20-02-2022,55755170152
20-03-2022,55447990236
17-04-2022,57423119211
15-05-2022,56449057207
12-06-2022,58589380851
