Date, Sales 
01-01-2010,64772.6
01-02-2010,65968.7
01-03-2010,65379.4
01-04-2010,65474.9
01-05-2010,65305.3
01-06-2010,65058.6
01-07-2010,65077.3
01-08-2010,65455.3
01-09-2010,65803
01-10-2010,65751.5
01-11-2010,66468
01-12-2010,66351.7
01-01-2011,66941.9
01-02-2011,67320.8
01-03-2011,67437.8
01-04-2011,68218.8
01-05-2011,67793.3
01-06-2011,68371.4
01-07-2011,68513.4
01-08-2011,68811.5
01-09-2011,68833.6
01-10-2011,69153.8
01-11-2011,69258.6
01-12-2011,68887.3
01-01-2012,69724.1
01-02-2012,69824.6
01-03-2012,70234.3
01-04-2012,70424.9
01-05-2012,70462.3
01-06-2012,70462.6
01-07-2012,70673.4
01-08-2012,70484.7
01-09-2012,70683.7
01-10-2012,71093.5
01-11-2012,71021
01-12-2012,71108.9
01-01-2013,71303.9
01-02-2013,71925.5
01-03-2013,71589.3
01-04-2013,71187.8
01-05-2013,71649.2
01-06-2013,71636.3
01-07-2013,72062.9
01-08-2013,72106.2
01-09-2013,72375
01-10-2013,72369.3
01-11-2013,72581.3
01-12-2013,73207.4
01-01-2014,73374.6
01-02-2014,73556.9
01-03-2014,73662.9
01-04-2014,73973.4
01-05-2014,74280.3
01-06-2014,74824.6
01-07-2014,74951.4
01-08-2014,75238
01-09-2014,75347.3
01-10-2014,75722.8
01-11-2014,75847.3
01-12-2014,76076
01-01-2015,76312.8
01-02-2015,76450.9
01-03-2015,76578.9
01-04-2015,76277.3
01-05-2015,76339.5
01-06-2015,76615.6
01-07-2015,76956.3
01-08-2015,76902.9
01-09-2015,77264.4
01-10-2015,76665.6
01-11-2015,77194.4
01-12-2015,77396.7
01-01-2016,77371.6
01-02-2016,77996.7
01-03-2016,77385
01-04-2016,78143.6
01-05-2016,78359.8
01-06-2016,78716.8
01-07-2016,78350.8
01-08-2016,78525.2
01-09-2016,78565
01-10-2016,79091.4
01-11-2016,78941.2
01-12-2016,79188.2
01-01-2017,79702.8
01-02-2017,79696.7
01-03-2017,80342.9
01-04-2017,80600.3
01-05-2017,80387
01-06-2017,80889.8
01-07-2017,80794.6
01-08-2017,81357.2
01-09-2017,81868.3
01-10-2017,81911.5
01-11-2017,82284
01-12-2017,83237.3
01-01-2018,82690.5
01-02-2018,82602.1
01-03-2018,82909.3
01-04-2018,82956
01-05-2018,83573.7
01-06-2018,82904.3
01-07-2018,83362.3
01-08-2018,83505.9
01-09-2018,83701
01-10-2018,83913.3
01-11-2018,84595.3
01-12-2018,83631.8
01-01-2019,85076.5
01-02-2019,83425.3
01-03-2019,84858.6
01-04-2019,85365.3
01-05-2019,85390.6
01-06-2019,86085.5
01-07-2019,86954.4
01-08-2019,87026.1
01-09-2019,86354.4
01-10-2019,86589.8
01-11-2019,86716.5
01-12-2019,87068.2
01-01-2020,87086.7
01-02-2020,87160.8
01-03-2020,107036.8
01-04-2020,94095.8
01-05-2020,97074.3
01-06-2020,96858.4
01-07-2020,97320.3
01-08-2020,95969.8
01-09-2020,96582.5
01-10-2020,96012.3
01-11-2020,96568.5
01-12-2020,94909.8
01-01-2021,100038.8
01-02-2021,97850.5
01-03-2021,102494.1
01-04-2021,101904.9
01-05-2021,101269.2
01-06-2021,102666.8
01-07-2021,101652.2
01-08-2021,104669.3
01-09-2021,105014.1
01-10-2021,106148.8
01-11-2021,106390.9
01-12-2021,104666.2
01-01-2022,108048.8
01-02-2022,106750.4
01-03-2022,107628.1
01-04-2022,107371.7
01-05-2022,108073
