Date, Sales 
01-01-2010,47072
01-02-2010,44275
01-03-2010,48123
01-04-2010,47050
01-05-2010,49655
01-06-2010,47813
01-07-2010,49732
01-08-2010,48357
01-09-2010,47478
01-10-2010,48583
01-11-2010,48842
01-12-2010,53550
01-01-2011,48438
01-02-2011,45575
01-03-2011,49729
01-04-2011,50588
01-05-2011,51441
01-06-2011,51040
01-07-2011,52522
01-08-2011,51575
01-09-2011,49925
01-10-2011,50887
01-11-2011,51352
01-12-2011,56065
01-01-2012,49834
01-02-2012,48850
01-03-2012,52549
01-04-2012,50842
01-05-2012,53955
01-06-2012,52702
01-07-2012,52868
01-08-2012,53442
01-09-2012,51123
01-10-2012,52236
01-11-2012,52904
01-12-2012,56900
01-01-2013,51649
01-02-2013,48596
01-03-2013,54258
01-04-2013,50382
01-05-2013,55266
01-06-2013,53261
01-07-2013,54529
01-08-2013,55120
01-09-2013,51747
01-10-2013,53744
01-11-2013,54761
01-12-2013,58202
01-01-2014,54128
01-02-2014,49987
01-03-2014,54391
01-04-2014,54264
01-05-2014,57850
01-06-2014,55337
01-07-2014,57475
01-08-2014,57379
01-09-2014,54382
01-10-2014,56940
01-11-2014,57013
01-12-2014,61327
01-01-2015,56747
01-02-2015,52150
01-03-2015,56733
01-04-2015,55697
01-05-2015,59290
01-06-2015,56819
01-07-2015,59288
01-08-2015,57951
01-09-2015,55767
01-10-2015,57684
01-11-2015,57089
01-12-2015,62160
01-01-2016,56919
01-02-2016,54125
01-03-2016,58069
01-04-2016,56250
01-05-2016,59229
01-06-2016,58510
01-07-2016,59840
01-08-2016,58619
01-09-2016,57442
01-10-2016,58739
01-11-2016,59195
01-12-2016,65083
01-01-2017,57814
01-02-2017,54509
01-03-2017,60257
01-04-2017,59623
01-05-2017,62129
01-06-2017,60555
01-07-2017,61618
01-08-2017,61413
01-09-2017,60275
01-10-2017,60743
01-11-2017,62062
01-12-2017,67845
01-01-2018,60330
01-02-2018,56415
01-03-2018,63713
01-04-2018,59508
01-05-2018,64458
01-06-2018,62714
01-07-2018,63369
01-08-2018,63591
01-09-2018,61189
01-10-2018,62592
01-11-2018,63786
01-12-2018,68202
01-01-2019,63043
01-02-2019,57121
01-03-2019,63785
01-04-2019,62672
01-05-2019,66803
01-06-2019,64731
01-07-2019,66640
01-08-2019,67062
01-09-2019,62427
01-10-2019,64803
01-11-2019,66212
01-12-2019,69715
01-01-2020,64048
01-02-2020,61290
01-03-2020,80050
01-04-2020,70085
01-05-2020,75263
01-06-2020,70557
01-07-2020,73681
01-08-2020,70899
01-09-2020,68100
01-10-2020,70333
01-11-2020,70323
01-12-2020,75586
01-01-2021,70026
01-02-2021,64261
01-03-2021,70946
01-04-2021,69944
01-05-2021,74598
01-06-2021,73120
01-07-2021,75644
01-08-2021,74501
01-09-2021,72978
01-10-2021,75780
01-11-2021,75733
01-12-2021,82729
01-01-2022,74984
01-02-2022,69586
01-03-2022,76252
01-04-2022,76387
01-05-2022,79861
