Date, Sales 
01-01-2010,215.404
01-02-2010,215.118
01-03-2010,215.623
01-04-2010,215.737
01-05-2010,215.793
01-06-2010,215.361
01-07-2010,215.256
01-08-2010,215.382
01-09-2010,216.161
01-10-2010,216.698
01-11-2010,216.538
01-12-2010,216.955
01-01-2011,220.016
01-02-2011,221.241
01-03-2011,223.430
01-04-2011,224.233
01-05-2011,225.356
01-06-2011,225.588
01-07-2011,226.891
01-08-2011,228.354
01-09-2011,229.739
01-10-2011,230.196
01-11-2011,229.380
01-12-2011,229.982
01-01-2012,231.694
01-02-2012,231.180
01-03-2012,231.383
01-04-2012,231.711
01-05-2012,231.518
01-06-2012,231.515
01-07-2012,231.306
01-08-2012,231.708
01-09-2012,231.615
01-10-2012,232.456
01-11-2012,232.295
01-12-2012,232.901
01-01-2013,234.240
01-02-2013,234.033
01-03-2013,233.777
01-04-2013,234.082
01-05-2013,233.302
01-06-2013,233.499
01-07-2013,233.591
01-08-2013,233.999
01-09-2013,234.045
01-10-2013,234.418
01-11-2013,233.639
01-12-2013,233.802
01-01-2014,235.356
01-02-2014,236.114
01-03-2014,236.973
01-04-2014,238.103
01-05-2014,239.504
01-06-2014,239.147
01-07-2014,239.820
01-08-2014,240.723
01-09-2014,241.578
01-10-2014,242.121
01-11-2014,241.576
01-12-2014,242.457
01-01-2015,243.123
01-02-2015,242.906
01-03-2015,241.588
01-04-2015,241.305
01-05-2015,241.019
01-06-2015,241.494
01-07-2015,241.993
01-08-2015,242.746
01-09-2015,243.432
01-10-2015,243.779
01-11-2015,242.240
01-12-2015,241.375
01-01-2016,242.017
01-02-2016,242.062
01-03-2016,240.329
01-04-2016,240.635
01-05-2016,239.354
01-06-2016,238.430
01-07-2016,238.207
01-08-2016,238.088
01-09-2016,238.120
01-10-2016,238.145
01-11-2016,236.930
01-12-2016,236.464
01-01-2017,237.365
01-02-2017,237.918
01-03-2017,238.256
01-04-2017,238.817
01-05-2017,238.964
01-06-2017,238.300
01-07-2017,238.953
01-08-2017,238.843
01-09-2017,239.128
01-10-2017,239.543
01-11-2017,238.403
01-12-2017,238.579
01-01-2018,239.828
01-02-2018,239.190
01-03-2018,239.158
01-04-2018,240.129
01-05-2018,239.287
01-06-2018,239.158
01-07-2018,239.820
01-08-2018,240.015
01-09-2018,240.125
01-10-2018,239.882
01-11-2018,239.352
01-12-2018,239.989
01-01-2019,241.381
01-02-2019,242.057
01-03-2019,242.555
01-04-2019,241.878
01-05-2019,242.145
01-06-2019,241.407
01-07-2019,241.359
01-08-2019,241.153
01-09-2019,241.543
01-10-2019,242.340
01-11-2019,241.726
01-12-2019,241.750
01-01-2020,243.110
01-02-2020,244.054
01-03-2020,245.163
01-04-2020,251.717
01-05-2020,253.827
01-06-2020,255.042
01-07-2020,252.563
01-08-2020,252.352
01-09-2020,251.369
01-10-2020,251.937
01-11-2020,250.407
01-12-2020,251.253
01-01-2021,252.107
01-02-2021,252.716
01-03-2021,253.231
01-04-2021,254.760
01-05-2021,255.516
01-06-2021,257.412
01-07-2021,259.022
01-08-2021,259.825
01-09-2021,262.695
01-10-2021,265.478
01-11-2021,266.384
01-12-2021,267.555
01-01-2022,270.711
01-02-2022,274.568
01-03-2022,278.612
01-04-2022,282.161
01-05-2022,285.953
01-06-2022,288.884
