Date, Sales 
01-01-2010,3683
01-02-2010,3834
01-03-2010,4091
01-04-2010,3675
01-05-2010,3965
01-06-2010,3749
01-07-2010,3964
01-08-2010,3997
01-09-2010,3933
01-10-2010,3714
01-11-2010,4009
01-12-2010,4050
01-01-2011,3576
01-02-2011,3871
01-03-2011,4304
01-04-2011,3902
01-05-2011,3861
01-06-2011,3792
01-07-2011,4002
01-08-2011,4132
01-09-2011,4051
01-10-2011,3741
01-11-2011,4126
01-12-2011,4300
01-01-2012,3897
01-02-2012,4325
01-03-2012,4440
01-04-2012,3799
01-05-2012,4193
01-06-2012,4075
01-07-2012,4145
01-08-2012,4370
01-09-2012,4128
01-10-2012,3792
01-11-2012,4236
01-12-2012,4352
01-01-2013,3974
01-02-2013,3998
01-03-2013,4493
01-04-2013,3996
01-05-2013,4239
01-06-2013,4112
01-07-2013,4266
01-08-2013,4605
01-09-2013,4303
01-10-2013,4312
01-11-2013,4629
01-12-2013,4273
01-01-2014,3947
01-02-2014,4114
01-03-2014,4640
01-04-2014,4203
01-05-2014,4658
01-06-2014,4233
01-07-2014,4488
01-08-2014,4757
01-09-2014,4647
01-10-2014,4539
01-11-2014,4800
01-12-2014,4895
01-01-2015,4496
01-02-2015,4331
01-03-2015,4848
01-04-2015,4460
01-05-2015,4978
01-06-2015,4743
01-07-2015,4926
01-08-2015,5073
01-09-2015,5141
01-10-2015,4999
01-11-2015,5054
01-12-2015,5279
01-01-2016,4600
01-02-2016,4819
01-03-2016,5197
01-04-2016,4717
01-05-2016,4997
01-06-2016,5029
01-07-2016,5028
01-08-2016,5135
01-09-2016,5291
01-10-2016,4902
01-11-2016,5281
01-12-2016,5299
01-01-2017,4646
01-02-2017,4758
01-03-2017,5475
01-04-2017,4749
01-05-2017,5141
01-06-2017,5085
01-07-2017,5104
01-08-2017,5229
01-09-2017,5189
01-10-2017,5050
01-11-2017,5463
01-12-2017,5399
01-01-2018,4717
01-02-2018,4796
01-03-2018,5667
01-04-2018,5010
01-05-2018,5377
01-06-2018,5409
01-07-2018,5288
01-08-2018,5538
01-09-2018,5385
01-10-2018,5180
01-11-2018,5500
01-12-2018,5434
01-01-2019,4638
01-02-2019,4628
01-03-2019,5517
01-04-2019,5078
01-05-2019,5580
01-06-2019,5343
01-07-2019,5500
01-08-2019,5705
01-09-2019,5621
01-10-2019,5417
01-11-2019,5770
01-12-2019,5401
01-01-2020,5095
01-02-2020,5240
01-03-2020,4452
01-04-2020,1962
01-05-2020,4187
01-06-2020,5613
01-07-2020,5835
01-08-2020,5821
01-09-2020,6092
01-10-2020,6003
01-11-2020,5861
01-12-2020,6077
01-01-2021,6009
01-02-2021,5657
01-03-2021,7074
01-04-2021,6770
01-05-2021,6742
01-06-2021,6406
01-07-2021,6589
01-08-2021,6542
01-09-2021,6614
01-10-2021,6629
01-11-2021,6656
01-12-2021,6455
01-01-2022,5549
01-02-2022,5993
01-03-2022,6996
01-04-2022,6706
