Date, Sales 
01-01-2010,11543.25
01-02-2010,11629.66667
01-03-2010,11830.91667
01-04-2010,11788.16667
01-05-2010,11743.33333
01-06-2010,11673.41667
01-07-2010,11642.66667
01-08-2010,11713.08333
01-09-2010,11716.08333
01-10-2010,11694.83333
01-11-2010,11788.5
01-12-2010,11762.66667
01-01-2011,11690.58333
01-02-2011,11840
01-03-2011,12083.66667
01-04-2011,12025
01-05-2011,11911.16667
01-06-2011,11947.91667
01-07-2011,11969.91667
01-08-2011,11979.5
01-09-2011,12037.08333
01-10-2011,12047.33333
01-11-2011,12108.25
01-12-2011,12234.66667
01-01-2012,12404.58333
01-02-2012,12519.41667
01-03-2012,12399.25
01-04-2012,12269
01-05-2012,12358.5
01-06-2012,12271.75
01-07-2012,12409.75
01-08-2012,12350.08333
01-09-2012,12359.08333
01-10-2012,12189.5
01-11-2012,12452.58333
01-12-2012,12731.08333
01-01-2013,12690.75
01-02-2013,12663.33333
01-03-2013,12738.5
01-04-2013,12701.5
01-05-2013,12685.08333
01-06-2013,12885
01-07-2013,12923.91667
01-08-2013,12965.75
01-09-2013,13030.66667
01-10-2013,13076.58333
01-11-2013,13154.41667
01-12-2013,12858.16667
01-01-2014,12708.41667
01-02-2014,13117.66667
01-03-2014,13325.08333
01-04-2014,13495.91667
01-05-2014,13532.75
01-06-2014,13631.83333
01-07-2014,13658.83333
01-08-2014,13894.08333
01-09-2014,13903.91667
01-10-2014,13993.91667
01-11-2014,14118.41667
01-12-2014,14176.08333
01-01-2015,14228.25
01-02-2015,14122.33333
01-03-2015,14428.83333
01-04-2015,14535.75
01-05-2015,14752.66667
01-06-2015,14663.83333
01-07-2015,14844.16667
01-08-2015,14950.08333
01-09-2015,15081.41667
01-10-2015,15090.33333
01-11-2015,15142.08333
01-12-2015,15419.41667
01-01-2016,15336.25
01-02-2016,15472.5
01-03-2016,15465.83333
01-04-2016,15471.91667
01-05-2016,15607.75
01-06-2016,15830.75
01-07-2016,15734.75
01-08-2016,15718.75
01-09-2016,15846.16667
01-10-2016,15834.66667
01-11-2016,15820.83333
01-12-2016,15874.83333
01-01-2017,16146
01-02-2017,16163.08333
01-03-2017,16265.33333
01-04-2017,16252.5
01-05-2017,16248.08333
01-06-2017,16356.41667
01-07-2017,16437.75
01-08-2017,16545.08333
01-09-2017,16563.66667
01-10-2017,16876.58333
01-11-2017,17294.5
01-12-2017,17442.75
01-01-2018,17430.75
01-02-2018,17652.41667
01-03-2018,17807.75
01-04-2018,18090.41667
01-05-2018,18119.41667
01-06-2018,18147.08333
01-07-2018,18271.25
01-08-2018,18269.66667
01-09-2018,18229.16667
01-10-2018,18353.66667
01-11-2018,18598.41667
01-12-2018,17743.83333
01-01-2019,18397.16667
01-02-2019,18404
01-03-2019,18583.41667
01-04-2019,18825.91667
01-05-2019,19058
01-06-2019,19124.41667
01-07-2019,19163.58333
01-08-2019,19241.16667
01-09-2019,19264.91667
01-10-2019,19280.25
01-11-2019,19271.75
01-12-2019,19073
01-01-2020,19669.66667
01-02-2020,19660.75
01-03-2020,18147.75
01-04-2020,15204.66667
01-05-2020,19164.41667
01-06-2020,21460.41667
01-07-2020,21757.83333
01-08-2020,22200.75
01-09-2020,22212.75
01-10-2020,22491.25
01-11-2020,22197.16667
01-12-2020,21218.41667
01-01-2021,24562.08333
01-02-2021,23378.83333
01-03-2021,25577.83333
01-04-2021,25529.5
01-05-2021,24951.91667
01-06-2021,24819.75
01-07-2021,24235.83333
01-08-2021,25175
01-09-2021,24981.58333
01-10-2021,25660.66667
01-11-2021,25854
01-12-2021,23802.16667
01-01-2022,25653
01-02-2022,25913.5
01-03-2022,25823.75
01-04-2022,26016.08333
01-05-2022,25797.5
