Date, Sales 
01-01-2010,6324
01-02-2010,6468
01-03-2010,7271
01-04-2010,6729
01-05-2010,6932
01-06-2010,6902
01-07-2010,7243
01-08-2010,7330
01-09-2010,7101
01-10-2010,6793
01-11-2010,7630
01-12-2010,8482
01-01-2011,6244
01-02-2011,6488
01-03-2011,7530
01-04-2011,6896
01-05-2011,7086
01-06-2011,7039
01-07-2011,7241
01-08-2011,7685
01-09-2011,7450
01-10-2011,6967
01-11-2011,7931
01-12-2011,9029
01-01-2012,6866
01-02-2012,7169
01-03-2012,7784
01-04-2012,6872
01-05-2012,7683
01-06-2012,7378
01-07-2012,7551
01-08-2012,8064
01-09-2012,7439
01-10-2012,7260
01-11-2012,8260
01-12-2012,9216
01-01-2013,7304
01-02-2013,7102
01-03-2013,7893
01-04-2013,7334
01-05-2013,7862
01-06-2013,7589
01-07-2013,8014
01-08-2013,8506
01-09-2013,7894
01-10-2013,8110
01-11-2013,8895
01-12-2013,9250
01-01-2014,7257
01-02-2014,7286
01-03-2014,8174
01-04-2014,7856
01-05-2014,8459
01-06-2014,7952
01-07-2014,8477
01-08-2014,8812
01-09-2014,8446
01-10-2014,8514
01-11-2014,9020
01-12-2014,10298
01-01-2015,8033
01-02-2015,7590
01-03-2015,8704
01-04-2015,8354
01-05-2015,8999
01-06-2015,8686
01-07-2015,9231
01-08-2015,9275
01-09-2015,9097
01-10-2015,9241
01-11-2015,9617
01-12-2015,11057
01-01-2016,8302
01-02-2016,8511
01-03-2016,9408
01-04-2016,8739
01-05-2016,9144
01-06-2016,9260
01-07-2016,9318
01-08-2016,9712
01-09-2016,9671
01-10-2016,9178
01-11-2016,10083
01-12-2016,10994
01-01-2017,8413
01-02-2017,8381
01-03-2017,9818
01-04-2017,8730
01-05-2017,9579
01-06-2017,9525
01-07-2017,9396
01-08-2017,10031
01-09-2017,9676
01-10-2017,9644
01-11-2017,10694
01-12-2017,11422
01-01-2018,8864
01-02-2018,8686
01-03-2018,10165
01-04-2018,9347
01-05-2018,10098
01-06-2018,9905
01-07-2018,9904
01-08-2018,10393
01-09-2018,9756
01-10-2018,9965
01-11-2018,10789
01-12-2018,11154
01-01-2019,8846
01-02-2019,8659
01-03-2019,10054
01-04-2019,9617
01-05-2019,10334
01-06-2019,9785
01-07-2019,10210
01-08-2019,10631
01-09-2019,10109
01-10-2019,10248
01-11-2019,11009
01-12-2019,11148
01-01-2020,9386
01-02-2020,9344
01-03-2020,8037
01-04-2020,3852
01-05-2020,7145
01-06-2020,9712
01-07-2020,10318
01-08-2020,10790
01-09-2020,10844
01-10-2020,10859
01-11-2020,10943
01-12-2020,11793
01-01-2021,10432
01-02-2021,9916
01-03-2021,12401
01-04-2021,11951
01-05-2021,11925
01-06-2021,11730
01-07-2021,12027
01-08-2021,12091
01-09-2021,11974
01-10-2021,12040
01-11-2021,12795
01-12-2021,12678
01-01-2022,10423
01-02-2022,10699
01-03-2022,12566
01-04-2022,12215
01-05-2022,12203
