Date, Sales 
31-01-2016,805681850
28-02-2016,848892482
27-03-2016,887290491
24-04-2016,964640220
22-05-2016,1023457644
19-06-2016,1013454541
17-07-2016,1066466071
14-08-2016,1050524361
11-09-2016,1089022258
09-10-2016,1105114685
06-11-2016,1207521923
04-12-2016,1298283970
01-01-2017,1109134792
29-01-2017,1104740634
26-02-2017,1098361617
26-03-2017,1043817197
23-04-2017,1018712945
21-05-2017,1020362890
18-06-2017,1030785482
16-07-2017,1018513529
13-08-2017,1069117334
10-09-2017,1173508096
08-10-2017,1240159290
05-11-2017,1265049387
03-12-2017,1357334019
31-12-2017,1354390217
28-01-2018,1306253640
25-02-2018,1349915008
25-03-2018,1399767440
22-04-2018,1463120457
20-05-2018,1480717385
17-06-2018,1469502574
15-07-2018,1471995012
12-08-2018,1609505291
09-09-2018,1713251930
07-10-2018,1757690331
04-11-2018,1869096764
02-12-2018,2100006467
30-12-2018,2095167308
27-01-2019,2064980531
24-02-2019,2042976260
24-03-2019,2067795582
21-04-2019,2102220355
19-05-2019,2151236582
16-06-2019,2105096434
14-07-2019,2107649565
11-08-2019,2199863906
08-09-2019,2300490471
06-10-2019,2423874225
03-11-2019,2463174763
01-12-2019,2707094258
29-12-2019,2858123417
26-01-2020,2733530211
23-02-2020,2784539324
22-03-2020,3567191467
19-04-2020,5194324144
17-05-2020,5224522276
14-06-2020,4535436156
12-07-2020,4353566746
09-08-2020,4665191517
06-09-2020,4510473975
04-10-2020,4510959408
01-11-2020,4760632372
29-11-2020,5148616197
27-12-2020,5537275310
24-01-2021,5369016962
21-02-2021,5238413219
21-03-2021,5131598336
18-04-2021,5196725137
16-05-2021,5302932988
13-06-2021,5459078908
11-07-2021,4979304874
08-08-2021,4784186237
05-09-2021,4932295504
03-10-2021,4877032550
31-10-2021,5056602610
28-11-2021,5690927785
26-12-2021,5900708394
23-01-2022,5780082320
20-02-2022,5665785525
20-03-2022,5678994422
17-04-2022,5787993367
15-05-2022,6003827523
12-06-2022,6077473845
