Date, Sales 
31-01-2016,"1,162.90"
28-02-2016,1252.602448
27-03-2016,1385.656866
24-04-2016,1478.848953
22-05-2016,1466.270251
19-06-2016,1417.508119
17-07-2016,1482.509744
14-08-2016,1442.408341
11-09-2016,1455.600976
09-10-2016,1495.981801
06-11-2016,1558.755663
04-12-2016,2117.477012
01-01-2017,1973.490157
29-01-2017,1236.38074
26-02-2017,1283.648881
26-03-2017,1368.434815
23-04-2017,1351.508314
21-05-2017,1394.275066
18-06-2017,1306.75615
16-07-2017,1448.262968
13-08-2017,1425.768494
10-09-2017,1483.255019
08-10-2017,1488.318193
05-11-2017,1638.288204
03-12-2017,2263.929502
31-12-2017,2001.894815
28-01-2018,1565.687638
25-02-2018,1602.05806
25-03-2018,1715.785841
22-04-2018,1802.291494
20-05-2018,1768.054725
17-06-2018,1703.101962
15-07-2018,1687.280903
12-08-2018,1826.979524
09-09-2018,1795.089436
07-10-2018,1749.13775
04-11-2018,1898.447313
02-12-2018,2596.41411
30-12-2018,2295.365863
27-01-2019,1826.73185
24-02-2019,1877.185883
24-03-2019,1980.510735
21-04-2019,1986.343674
19-05-2019,2118.98503
16-06-2019,1938.996256
14-07-2019,1895.161017
11-08-2019,2013.657406
08-09-2019,1976.544156
06-10-2019,1949.8086
03-11-2019,1970.357769
01-12-2019,2642.223264
29-12-2019,2822.980374
26-01-2020,2190.459
23-02-2020,2130.265375
22-03-2020,2774.289241
19-04-2020,3328.490158
17-05-2020,3667.536865
14-06-2020,3162.119556
12-07-2020,2895.227386
09-08-2020,3105.811495
06-09-2020,3127.557337
04-10-2020,3000.513506
01-11-2020,3251.043593
29-11-2020,4098.354375
27-12-2020,4315.659644
24-01-2021,3278.018135
21-02-2021,3204.481735
21-03-2021,3189.252582
18-04-2021,3456.966682
16-05-2021,3721.557475
13-06-2021,3648.037489
11-07-2021,3456.298952
08-08-2021,3292.739654
05-09-2021,3391.012513
03-10-2021,3241.074414
31-10-2021,3499.886815
28-11-2021,4900.241397
26-12-2021,5150.520222
23-01-2022,3975.368255
20-02-2022,3798.541127
20-03-2022,3987.621875
17-04-2022,4290.451849
15-05-2022,4243.391146
12-06-2022,4224.067363
