Date, Sales 
31-01-2016,8066.1
28-02-2016,8492.3
27-03-2016,8740.5
24-04-2016,8675.1
22-05-2016,8734.5
19-06-2016,8849.6
17-07-2016,8839.6
14-08-2016,8759.8
11-09-2016,8745.4
09-10-2016,8490.6
06-11-2016,8421.5
04-12-2016,9053.3
01-01-2017,9659.5
29-01-2017,8075.3
26-02-2017,8381.7
26-03-2017,8739.7
23-04-2017,8523.8
21-05-2017,8662.7
18-06-2017,8682.6
16-07-2017,8821.0
13-08-2017,8740.2
10-09-2017,8800.6
08-10-2017,8487.9
05-11-2017,8616.8
03-12-2017,9341.2
31-12-2017,9876.3
28-01-2018,8597.9
25-02-2018,8770.9
25-03-2018,9194.9
22-04-2018,9140.0
20-05-2018,9181.2
17-06-2018,9259.6
15-07-2018,9244.8
12-08-2018,9297.4
09-09-2018,9253.6
07-10-2018,8890.4
04-11-2018,9007.4
02-12-2018,9816.0
30-12-2018,10321.9
27-01-2019,9052.6
24-02-2019,9136.0
24-03-2019,9719.5
21-04-2019,9603.7
19-05-2019,9644.8
16-06-2019,9689.9
14-07-2019,9652.2
11-08-2019,9678.4
08-09-2019,9659.6
06-10-2019,9284.9
03-11-2019,9303.8
01-12-2019,10016.7
29-12-2019,10946.6
26-01-2020,9545.9
23-02-2020,9578.6
22-03-2020,12993.5
19-04-2020,10649.6
17-05-2020,11676.2
14-06-2020,11306.3
12-07-2020,11269.2
09-08-2020,11436.0
06-09-2020,11161.5
04-10-2020,10709.9
01-11-2020,11025.3
29-11-2020,12185.3
27-12-2020,12519.5
24-01-2021,11008.3
21-02-2021,10474.7
21-03-2021,11265.2
18-04-2021,11899.4
16-05-2021,11921.1
13-06-2021,12077.6
11-07-2021,11891.5
08-08-2021,11925.7
05-09-2021,12212.5
03-10-2021,11581.1
31-10-2021,11885.9
28-11-2021,13072.0
26-12-2021,14466.8
23-01-2022,12385.2
20-02-2022,11903.4
20-03-2022,12543.8
17-04-2022,12886.6
15-05-2022,12864.8
12-06-2022,13101.7
