Date, Sales 
31-01-2016,1162.9
28-02-2016,1252.6
27-03-2016,1385.7
24-04-2016,1478.8
22-05-2016,1466.3
19-06-2016,1417.5
17-07-2016,1482.5
14-08-2016,1442.4
11-09-2016,1455.6
09-10-2016,1496.0
06-11-2016,1558.8
04-12-2016,2117.5
01-01-2017,1973.5
29-01-2017,1236.4
26-02-2017,1283.6
26-03-2017,1368.4
23-04-2017,1351.5
21-05-2017,1394.3
18-06-2017,1306.8
16-07-2017,1448.3
13-08-2017,1425.8
10-09-2017,1483.3
08-10-2017,1488.3
05-11-2017,1638.3
03-12-2017,2263.9
31-12-2017,2001.9
28-01-2018,1565.7
25-02-2018,1602.1
25-03-2018,1715.8
22-04-2018,1802.3
20-05-2018,1768.1
17-06-2018,1703.1
15-07-2018,1687.3
12-08-2018,1827.0
09-09-2018,1795.1
07-10-2018,1749.1
04-11-2018,1898.4
02-12-2018,2596.4
30-12-2018,2295.4
27-01-2019,1826.7
24-02-2019,1877.2
24-03-2019,1980.5
21-04-2019,1986.3
19-05-2019,2119.0
16-06-2019,1939.0
14-07-2019,1895.2
11-08-2019,2013.7
08-09-2019,1976.5
06-10-2019,1949.8
03-11-2019,1970.4
01-12-2019,2642.2
29-12-2019,2823.0
26-01-2020,2190.5
23-02-2020,2130.3
22-03-2020,2774.3
19-04-2020,3328.5
17-05-2020,3667.5
14-06-2020,3162.1
12-07-2020,2895.2
09-08-2020,3105.8
06-09-2020,3127.6
04-10-2020,3000.5
01-11-2020,3251.0
29-11-2020,4098.4
27-12-2020,4315.7
24-01-2021,3278.0
21-02-2021,3204.5
21-03-2021,3189.3
18-04-2021,3457.0
16-05-2021,3721.6
13-06-2021,3648.0
11-07-2021,3456.3
08-08-2021,3292.7
05-09-2021,3391.0
03-10-2021,3241.1
31-10-2021,3499.9
28-11-2021,4900.2
26-12-2021,5150.5
23-01-2022,3975.4
20-02-2022,3798.5
20-03-2022,3987.6
17-04-2022,4290.5
15-05-2022,4243.4
12-06-2022,4224.1
