Date, Sales 
01-01-2010,28171
01-02-2010,28258
01-03-2010,29852
01-04-2010,29350
01-05-2010,31271
01-06-2010,29834
01-07-2010,30555
01-08-2010,30574
01-09-2010,28166
01-10-2010,30371
01-11-2010,32462
01-12-2010,39129
01-01-2011,28851
01-02-2011,28956
01-03-2011,31017
01-04-2011,31432
01-05-2011,32353
01-06-2011,31560
01-07-2011,32369
01-08-2011,32240
01-09-2011,30322
01-10-2011,32069
01-11-2011,34024
01-12-2011,41150
01-01-2012,30180
01-02-2012,31989
01-03-2012,33676
01-04-2012,32346
01-05-2012,33976
01-06-2012,33616
01-07-2012,32994
01-08-2012,34261
01-09-2012,31725
01-10-2012,33048
01-11-2012,36037
01-12-2012,42461
01-01-2013,31057
01-02-2013,31929
01-03-2013,35672
01-04-2013,32722
01-05-2013,35531
01-06-2013,34923
01-07-2013,34478
01-08-2013,36141
01-09-2013,32700
01-10-2013,34494
01-11-2013,38068
01-12-2013,43314
01-01-2014,32388
01-02-2014,32619
01-03-2014,35794
01-04-2014,34660
01-05-2014,37495
01-06-2014,35791
01-07-2014,35862
01-08-2014,37892
01-09-2014,33739
01-10-2014,36249
01-11-2014,39600
01-12-2014,44654
01-01-2015,34248
01-02-2015,33230
01-03-2015,36344
01-04-2015,35097
01-05-2015,38378
01-06-2015,36489
01-07-2015,37224
01-08-2015,38086
01-09-2015,34733
01-10-2015,37411
01-11-2015,39732
01-12-2015,46079
01-01-2016,34524
01-02-2016,35109
01-03-2016,37811
01-04-2016,36549
01-05-2016,38376
01-06-2016,37427
01-07-2016,38308
01-08-2016,38094
01-09-2016,35079
01-10-2016,37975
01-11-2016,40435
01-12-2016,47491
01-01-2017,35248
01-02-2017,34271
01-03-2017,38016
01-04-2017,38072
01-05-2017,38496
01-06-2017,38879
01-07-2017,38984
01-08-2017,39543
01-09-2017,37587
01-10-2017,38981
01-11-2017,42091
01-12-2017,50012
01-01-2018,35852
01-02-2018,35348
01-03-2018,40992
01-04-2018,37158
01-05-2018,41393
01-06-2018,40463
01-07-2018,40054
01-08-2018,41440
01-09-2018,38168
01-10-2018,40022
01-11-2018,45049
01-12-2018,50744
01-01-2019,37094
01-02-2019,35654
01-03-2019,41563
01-04-2019,39840
01-05-2019,42618
01-06-2019,41660
01-07-2019,41590
01-08-2019,43506
01-09-2019,38692
01-10-2019,41447
01-11-2019,46063
01-12-2019,51606
01-01-2020,38246
01-02-2020,38702
01-03-2020,46965
01-04-2020,40927
01-05-2020,45748
01-06-2020,43015
01-07-2020,43885
01-08-2020,44035
01-09-2020,41015
01-10-2020,44520
01-11-2020,47573
01-12-2020,52464
01-01-2021,43445
01-02-2021,38796
01-03-2021,49742
01-04-2021,45977
01-05-2021,48125
01-06-2021,46910
01-07-2021,48139
01-08-2021,48624
01-09-2021,45212
01-10-2021,49965
01-11-2021,52309
01-12-2021,57754
01-01-2022,45340
01-02-2022,40730
01-03-2022,48855
